output_index	case_index	diff_path	status	rc
151	396	/home/dinghy/versys/ibex-cpufuzz/bluesfl/ibex/dataset/dataset1/dataset_6/10/ibex_prefetch_buffer.sv.diff	SIM_FAIL	1
152	398	/home/dinghy/versys/ibex-cpufuzz/bluesfl/ibex/dataset/dataset1/dataset_6/12/ibex_id_stage.sv.diff	SIM_FAIL	1
153	401	/home/dinghy/versys/ibex-cpufuzz/bluesfl/ibex/dataset/dataset1/dataset_6/3/ibex_fetch_fifo.sv.diff	SIM_FAIL	1
154	402	/home/dinghy/versys/ibex-cpufuzz/bluesfl/ibex/dataset/dataset1/dataset_6/4/ibex_fetch_fifo.sv.diff	SIM_FAIL	1
155	405	/home/dinghy/versys/ibex-cpufuzz/bluesfl/ibex/dataset/dataset1/dataset_6/7/ibex_wb_stage.sv.diff	SIM_FAIL	1
156	407	/home/dinghy/versys/ibex-cpufuzz/bluesfl/ibex/dataset/dataset1/dataset_6/9/ibex_fetch_fifo.sv.diff	SIM_FAIL	1
157	408	/home/dinghy/versys/ibex-cpufuzz/bluesfl/ibex/dataset/dataset1/dataset_7/0/ibex_wb_stage.sv.diff	SIM_FAIL	1
158	410	/home/dinghy/versys/ibex-cpufuzz/bluesfl/ibex/dataset/dataset1/dataset_7/12/ibex_controller.sv.diff	TIMEOUT	143
159	416	/home/dinghy/versys/ibex-cpufuzz/bluesfl/ibex/dataset/dataset1/dataset_7/8/ibex_prefetch_buffer.sv.diff	SIM_FAIL	1
160	423	/home/dinghy/versys/ibex-cpufuzz/bluesfl/ibex/dataset/dataset1/dataset_8/1/ibex_fetch_fifo.sv.diff	SIM_FAIL	1
161	424	/home/dinghy/versys/ibex-cpufuzz/bluesfl/ibex/dataset/dataset1/dataset_8/2/ibex_wb_stage.sv.diff	SIM_FAIL	1
162	428	/home/dinghy/versys/ibex-cpufuzz/bluesfl/ibex/dataset/dataset1/dataset_8/6/ibex_core.sv.diff	SIM_FAIL	1
163	429	/home/dinghy/versys/ibex-cpufuzz/bluesfl/ibex/dataset/dataset1/dataset_8/7/ibex_decoder.sv.diff	SIM_FAIL	1
164	432	/home/dinghy/versys/ibex-cpufuzz/bluesfl/ibex/dataset/dataset1/dataset_9/0/ibex_decoder.sv.diff	SIM_FAIL	1
165	433	/home/dinghy/versys/ibex-cpufuzz/bluesfl/ibex/dataset/dataset1/dataset_9/10/ibex_decoder.sv.diff	SIM_FAIL	1
166	435	/home/dinghy/versys/ibex-cpufuzz/bluesfl/ibex/dataset/dataset1/dataset_9/12/ibex_wb_stage.sv.diff	SIM_FAIL	1
167	438	/home/dinghy/versys/ibex-cpufuzz/bluesfl/ibex/dataset/dataset1/dataset_9/2/ibex_alu.sv.diff	SIM_FAIL	1
168	439	/home/dinghy/versys/ibex-cpufuzz/bluesfl/ibex/dataset/dataset1/dataset_9/3/ibex_multdiv_fast.sv.diff	SIM_FAIL	1
169	440	/home/dinghy/versys/ibex-cpufuzz/bluesfl/ibex/dataset/dataset1/dataset_9/4/ibex_prefetch_buffer.sv.diff	TIMEOUT	143
